"","Coord: 1","Coord: 2","Coord: 3","Coord: 4","Coord: 5","Ctr: 1","Ctr: 2","Ctr: 3","Ctr: 4","Ctr: 5","Cor: 1","Cor: 2","Cor: 3","Cor: 4","Cor: 5"
"428",-0.04,-0.4,-0.02,-0.04,-0.06,0,1,0,0,0,NA,NA,NA,NA,NA
"429",-0.09,0.63,-0.05,-0.01,0.05,0,2,0,0,0,NA,NA,NA,NA,NA
"430",0.44,-0.33,0.14,0.1,0.04,1,0,0,0,0,NA,NA,NA,NA,NA
"431",-0.1,0.64,-0.15,0.04,0.12,0,2,0,0,0,NA,NA,NA,NA,NA
"432",0.02,-0.61,-0.15,-0.14,-0.17,0,2,0,0,0,NA,NA,NA,NA,NA
"433",0.22,-0.56,0.13,0.05,-0.06,0,1,0,0,0,NA,NA,NA,NA,NA
"434",-0.45,0.27,-0.18,-0.16,0.02,1,0,0,0,0,NA,NA,NA,NA,NA
"435",-0.08,0.79,-0.23,-0.08,0.12,0,3,0,0,0,NA,NA,NA,NA,NA
"436",-0.54,0.34,-0.09,0.05,0.11,1,0,0,0,0,NA,NA,NA,NA,NA
"437",-0.29,0.36,-0.28,-0.13,0.1,0,1,0,0,0,NA,NA,NA,NA,NA
"438",-0.97,0.16,0.18,0.23,0.45,3,0,0,0,1,NA,NA,NA,NA,NA
"439",-0.91,0.09,0.43,0.25,0.52,2,0,1,0,2,NA,NA,NA,NA,NA
"440",-0.72,-0.23,-0.13,-0.15,0.16,1,0,0,0,0,NA,NA,NA,NA,NA
"441",-0.82,-0.13,0.07,0.07,0.46,2,0,0,0,1,NA,NA,NA,NA,NA
"442",-0.63,0.61,0.01,0.11,0.44,1,2,0,0,1,NA,NA,NA,NA,NA
"443",0.01,0.38,-0.25,-0.01,-0.11,0,1,0,0,0,NA,NA,NA,NA,NA
"444",0.54,0.58,0.1,0.04,0.29,1,1,0,0,0,NA,NA,NA,NA,NA
"445",-0.59,0.44,-0.14,-0.04,0.29,1,1,0,0,1,NA,NA,NA,NA,NA
"446",-0.11,0.44,-0.01,0.01,0.18,0,1,0,0,0,NA,NA,NA,NA,NA
"447",-0.31,0.08,-0.31,-0.26,-0.17,0,0,1,0,0,NA,NA,NA,NA,NA
"448",-0.08,-0.51,-0.02,-0.07,-0.01,0,1,0,0,0,NA,NA,NA,NA,NA
"449",1.24,0.62,0.37,0.18,0.49,4,2,1,0,1,NA,NA,NA,NA,NA
"450",-0.14,-0.06,-0.07,0.04,0.05,0,0,0,0,0,NA,NA,NA,NA,NA
"451",-0.2,-0.37,0.04,0.16,-0.01,0,1,0,0,0,NA,NA,NA,NA,NA
"452",-0.18,-0.19,-0.07,0.09,-0.15,0,0,0,0,0,NA,NA,NA,NA,NA
"453",0.22,-0.05,-0.12,-0.08,-0.11,0,0,0,0,0,NA,NA,NA,NA,NA
"454",0.06,-0.08,-0.07,-0.05,-0.18,0,0,0,0,0,NA,NA,NA,NA,NA
"455",-0.02,-0.12,-0.09,-0.08,-0.01,0,0,0,0,0,NA,NA,NA,NA,NA
"456",0.07,-0.59,-0.08,-0.13,-0.14,0,1,0,0,0,NA,NA,NA,NA,NA
"457",0.24,0.27,-0.02,-0.12,-0.17,0,0,0,0,0,NA,NA,NA,NA,NA
"458",-0.46,-0.02,0.03,0.14,0.13,1,0,0,0,0,NA,NA,NA,NA,NA
"459",0.3,0.06,-0.32,-0.27,-0.24,0,0,1,0,0,NA,NA,NA,NA,NA
"460",0.83,-0.33,0.28,0.1,0.1,2,0,0,0,0,NA,NA,NA,NA,NA
"461",0.35,0.52,-0.27,-0.14,-0.15,0,1,0,0,0,NA,NA,NA,NA,NA
"462",0.2,-0.02,-0.14,0.05,-0.22,0,0,0,0,0,NA,NA,NA,NA,NA
"463",0.53,0.31,-0.24,-0.19,-0.24,1,0,0,0,0,NA,NA,NA,NA,NA
"464",0.26,-0.48,0,0.1,-0.18,0,1,0,0,0,NA,NA,NA,NA,NA
"465",0.48,-0.27,-0.1,-0.11,-0.19,1,0,0,0,0,NA,NA,NA,NA,NA
"466",0.73,-0.46,0.28,0.08,0.12,2,1,0,0,0,NA,NA,NA,NA,NA
"467",-0.98,0.11,0.18,0.34,0.36,3,0,0,1,1,NA,NA,NA,NA,NA
"468",-0.06,-0.32,-0.22,-0.04,-0.19,0,0,0,0,0,NA,NA,NA,NA,NA
"469",-0.23,-0.09,-0.06,0.24,0,0,0,0,0,0,NA,NA,NA,NA,NA
"470",0.08,0.23,-0.11,-0.06,-0.02,0,0,0,0,0,NA,NA,NA,NA,NA
"471",0.88,-0.09,0.59,0.34,0.58,2,0,2,1,2,NA,NA,NA,NA,NA
"472",-0.45,-0.03,0.06,0.06,0.17,1,0,0,0,0,NA,NA,NA,NA,NA
"473",-0.4,1.18,0.33,0.18,0.15,0,6,1,0,0,NA,NA,NA,NA,NA
"474",-0.13,0.51,-0.02,0.11,0.39,0,1,0,0,1,NA,NA,NA,NA,NA
"475",-0.61,-0.16,-0.23,-0.11,0.09,1,0,0,0,0,NA,NA,NA,NA,NA
"476",-0.44,0.39,-0.31,0.03,-0.08,1,1,0,0,0,NA,NA,NA,NA,NA
"477",0.39,0.15,-0.23,-0.14,-0.13,0,0,0,0,0,NA,NA,NA,NA,NA
"478",-0.05,-0.11,-0.2,-0.08,-0.22,0,0,0,0,0,NA,NA,NA,NA,NA
"479",0.38,-0.37,-0.09,-0.09,-0.23,0,1,0,0,0,NA,NA,NA,NA,NA
"480",-0.59,-0.08,-0.1,0.04,0.2,1,0,0,0,0,NA,NA,NA,NA,NA
"481",-0.04,0.27,-0.17,0.02,0.01,0,0,0,0,0,NA,NA,NA,NA,NA
"482",0.22,-0.66,0.04,-0.01,-0.11,0,2,0,0,0,NA,NA,NA,NA,NA
"483",0.05,-0.56,0.09,-0.04,0.13,0,1,0,0,0,NA,NA,NA,NA,NA
"484",0.08,0.52,-0.38,-0.2,-0.22,0,1,1,0,0,NA,NA,NA,NA,NA
"485",-0.86,-0.13,0.16,0.01,0.34,2,0,0,0,1,NA,NA,NA,NA,NA
"486",0.25,-0.55,0.08,-0.13,-0.05,0,1,0,0,0,NA,NA,NA,NA,NA
"487",-0.03,0.67,-0.27,-0.03,-0.02,0,2,0,0,0,NA,NA,NA,NA,NA
"488",-0.58,0.44,0.02,0.2,0.02,1,1,0,0,0,NA,NA,NA,NA,NA
"489",0.26,-0.64,0.03,0.01,-0.1,0,2,0,0,0,NA,NA,NA,NA,NA
"490",-0.05,-0.46,0,0.01,-0.06,0,1,0,0,0,NA,NA,NA,NA,NA
"491",-0.26,-0.05,-0.23,-0.18,-0.04,0,0,0,0,0,NA,NA,NA,NA,NA
"492",-0.89,0.08,0.71,0.11,0.39,2,0,3,0,1,NA,NA,NA,NA,NA
"493",0.2,-0.03,0.48,-0.08,0.02,0,0,1,0,0,NA,NA,NA,NA,NA
"494",0.72,0.42,-0.2,-0.16,-0.18,1,1,0,0,0,NA,NA,NA,NA,NA
"495",0.37,-0.54,0.26,0.17,0.1,0,1,0,0,0,NA,NA,NA,NA,NA
"496",0.11,-0.46,-0.05,-0.07,-0.11,0,1,0,0,0,NA,NA,NA,NA,NA
"497",0.51,-0.44,-0.11,-0.1,-0.3,1,1,0,0,1,NA,NA,NA,NA,NA
"498",-0.34,-0.01,-0.1,-0.13,-0.04,0,0,0,0,0,NA,NA,NA,NA,NA
"499",1.5,0.42,0.83,0.45,0.94,6,1,4,1,5,NA,NA,NA,NA,NA
"500",0.61,0.33,-0.08,-0.11,-0.06,1,0,0,0,0,NA,NA,NA,NA,NA
"501",1.05,0.56,0.16,0.08,0.22,3,1,0,0,0,NA,NA,NA,NA,NA
"502",0.36,0.19,-0.23,-0.19,-0.28,0,0,0,0,0,NA,NA,NA,NA,NA
"503",0.17,-0.45,-0.05,-0.03,-0.16,0,1,0,0,0,NA,NA,NA,NA,NA
"504",-0.62,0.33,0.07,-0.08,0.05,1,0,0,0,0,NA,NA,NA,NA,NA
"505",0.41,0.56,-0.3,-0.17,-0.17,0,1,0,0,0,NA,NA,NA,NA,NA
"506",-0.35,0.54,-0.09,0.06,0.03,0,1,0,0,0,NA,NA,NA,NA,NA
"507",0.33,0.32,-0.23,-0.14,-0.21,0,0,0,0,0,NA,NA,NA,NA,NA
"508",-0.61,-0.05,-0.12,-0.04,0.19,1,0,0,0,0,NA,NA,NA,NA,NA
"509",0.79,0.49,-0.12,-0.11,-0.16,2,1,0,0,0,NA,NA,NA,NA,NA
"510",0.18,-0.41,-0.15,-0.15,-0.24,0,1,0,0,0,NA,NA,NA,NA,NA
"511",0.07,0.32,-0.33,-0.26,-0.08,0,0,1,0,0,NA,NA,NA,NA,NA
"512",-1.17,0.49,0.56,0.52,0.49,4,1,2,2,1,NA,NA,NA,NA,NA
"513",-0.51,-0.07,-0.06,0.05,0.02,1,0,0,0,0,NA,NA,NA,NA,NA
"514",0.35,-0.13,-0.17,-0.13,-0.27,0,0,0,0,0,NA,NA,NA,NA,NA
"515",-0.73,0.28,0.06,0.05,0.14,1,0,0,0,0,NA,NA,NA,NA,NA
"516",0.44,0.59,-0.18,-0.08,-0.08,1,1,0,0,0,NA,NA,NA,NA,NA
"517",0.28,-0.15,-0.28,-0.25,-0.3,0,0,0,0,1,NA,NA,NA,NA,NA
"518",1.17,0.3,0.33,0.15,0.34,4,0,1,0,1,NA,NA,NA,NA,NA
"519",0.44,0.3,-0.19,-0.15,-0.15,1,0,0,0,0,NA,NA,NA,NA,NA
"520",0.98,0.09,0.36,0.16,0.32,3,0,1,0,1,NA,NA,NA,NA,NA
"521",0.34,-0.57,0.3,0.1,0.23,0,1,0,0,0,NA,NA,NA,NA,NA
"522",-0.13,0.29,-0.19,0.09,-0.16,0,0,0,0,0,NA,NA,NA,NA,NA
"523",-0.29,-0.74,-0.15,-0.31,-0.11,0,2,0,1,0,NA,NA,NA,NA,NA
"524",-0.31,0.44,-0.13,0.17,0.09,0,1,0,0,0,NA,NA,NA,NA,NA
"525",0.63,0.29,-0.03,-0.04,-0.04,1,0,0,0,0,NA,NA,NA,NA,NA
"526",0.82,0.4,-0.13,-0.12,-0.16,2,1,0,0,0,NA,NA,NA,NA,NA
"527",-0.51,-0.13,-0.34,-0.23,0.01,1,0,1,0,0,NA,NA,NA,NA,NA
"528",-0.18,-0.56,-0.01,-0.02,-0.05,0,1,0,0,0,NA,NA,NA,NA,NA
"529",-0.44,-0.08,0.28,0.3,0.19,1,0,0,1,0,NA,NA,NA,NA,NA
"530",0.93,-0.4,0.62,0.26,0.47,2,1,2,0,1,NA,NA,NA,NA,NA
"531",-0.55,-0.15,0.27,0.27,0.31,1,0,0,0,1,NA,NA,NA,NA,NA
"532",0.06,-0.08,-0.16,-0.23,-0.3,0,0,0,0,1,NA,NA,NA,NA,NA
"533",0.24,0.39,-0.18,-0.01,-0.01,0,1,0,0,0,NA,NA,NA,NA,NA
"534",-0.38,-0.27,0.06,0.11,0.09,0,0,0,0,0,NA,NA,NA,NA,NA
"535",0.08,0.41,-0.17,-0.2,-0.1,0,1,0,0,0,NA,NA,NA,NA,NA
"536",-0.65,-0.11,-0.23,-0.09,0.15,1,0,0,0,0,NA,NA,NA,NA,NA
"537",0.35,0.06,0.06,0.01,0.04,0,0,0,0,0,NA,NA,NA,NA,NA
"538",-0.52,0.53,-0.04,0.01,0.02,1,1,0,0,0,NA,NA,NA,NA,NA
"539",-0.5,1.13,0.22,-0.18,0.04,1,5,0,0,0,NA,NA,NA,NA,NA
"540",-0.28,0.22,-0.07,0.09,0.04,0,0,0,0,0,NA,NA,NA,NA,NA
"541",-0.03,-0.48,-0.14,-0.18,-0.09,0,1,0,0,0,NA,NA,NA,NA,NA
"542",-0.47,0.21,-0.14,-0.04,-0.05,1,0,0,0,0,NA,NA,NA,NA,NA
"543",0.06,0.09,-0.03,0.18,-0.15,0,0,0,0,0,NA,NA,NA,NA,NA
"544",0.53,0.17,0.3,0.07,0.18,1,0,0,0,0,NA,NA,NA,NA,NA
"545",-0.7,1.05,0.44,0.01,0.27,1,5,1,0,0,NA,NA,NA,NA,NA
"546",-0.27,-0.41,0.25,0.16,0.17,0,1,0,0,0,NA,NA,NA,NA,NA
"547",0.43,0.6,-0.18,-0.06,-0.12,1,1,0,0,0,NA,NA,NA,NA,NA
"548",-0.65,-0.2,-0.04,0.1,0.18,1,0,0,0,0,NA,NA,NA,NA,NA
"549",0.31,0.48,-0.21,-0.1,-0.1,0,1,0,0,0,NA,NA,NA,NA,NA
"550",-0.09,0.84,0.03,-0.14,0.03,0,3,0,0,0,NA,NA,NA,NA,NA
"551",-0.08,0.25,-0.45,-0.33,-0.19,0,0,1,1,0,NA,NA,NA,NA,NA
"552",-0.07,0.37,-0.49,-0.17,-0.32,0,1,1,0,1,NA,NA,NA,NA,NA
"553",-0.91,0.49,0.23,0.23,0.32,2,1,0,0,1,NA,NA,NA,NA,NA
"554",0.24,0.01,-0.12,-0.11,-0.17,0,0,0,0,0,NA,NA,NA,NA,NA
"555",-0.33,-0.33,-0.17,-0.04,-0.12,0,0,0,0,0,NA,NA,NA,NA,NA
"556",0.08,-0.04,-0.3,-0.25,-0.22,0,0,0,0,0,NA,NA,NA,NA,NA
"557",-0.23,0,-0.19,-0.07,0.02,0,0,0,0,0,NA,NA,NA,NA,NA
"558",-0.12,0.2,0.43,0.16,0.35,0,0,1,0,1,NA,NA,NA,NA,NA
"559",0.43,0.01,-0.07,-0.14,-0.03,1,0,0,0,0,NA,NA,NA,NA,NA
"560",0.22,0.51,-0.37,-0.21,-0.16,0,1,1,0,0,NA,NA,NA,NA,NA
"561",-0.68,0.31,-0.12,0.04,0.19,1,0,0,0,0,NA,NA,NA,NA,NA
"562",-0.32,-0.2,-0.35,-0.38,-0.24,0,0,1,1,0,NA,NA,NA,NA,NA
"563",-0.6,1.09,0.31,0.02,0.24,1,5,0,0,0,NA,NA,NA,NA,NA
"564",0.75,-0.44,0.53,0.22,0.47,2,1,1,0,1,NA,NA,NA,NA,NA
"565",-0.33,0.05,0.03,-0.12,0.07,0,0,0,0,0,NA,NA,NA,NA,NA
"566",-0.23,-0.36,0.19,0.27,0.23,0,1,0,0,0,NA,NA,NA,NA,NA
"567",-0.19,0.6,-0.19,-0.06,0.2,0,1,0,0,0,NA,NA,NA,NA,NA
"568",-0.01,0.48,-0.21,-0.12,0.01,0,1,0,0,0,NA,NA,NA,NA,NA
"569",0.18,0.48,-0.18,-0.08,-0.04,0,1,0,0,0,NA,NA,NA,NA,NA
"570",-0.33,0.46,-0.32,0.05,-0.12,0,1,1,0,0,NA,NA,NA,NA,NA
"571",0.14,0.05,-0.23,-0.19,-0.14,0,0,0,0,0,NA,NA,NA,NA,NA
"572",-0.09,-0.14,-0.02,0.05,-0.03,0,0,0,0,0,NA,NA,NA,NA,NA
"573",-0.11,0.34,-0.42,-0.28,-0.26,0,0,1,0,0,NA,NA,NA,NA,NA
"574",-0.38,-0.15,-0.07,0.11,0.09,0,0,0,0,0,NA,NA,NA,NA,NA
"575",0.67,0.23,-0.1,-0.08,-0.21,1,0,0,0,0,NA,NA,NA,NA,NA
"576",-0.18,-0.46,0.16,0.01,0.12,0,1,0,0,0,NA,NA,NA,NA,NA
"577",-0.14,0.19,-0.45,-0.29,-0.26,0,0,1,0,0,NA,NA,NA,NA,NA
"578",0.11,-0.53,0.1,0.08,0.03,0,1,0,0,0,NA,NA,NA,NA,NA
"579",0.19,0.35,-0.18,0.01,-0.1,0,0,0,0,0,NA,NA,NA,NA,NA
"580",-0.25,0.41,-0.19,-0.11,-0.22,0,1,0,0,0,NA,NA,NA,NA,NA
"581",0.17,-0.67,-0.08,-0.17,-0.15,0,2,0,0,0,NA,NA,NA,NA,NA
"582",-0.07,-0.45,-0.11,-0.11,-0.06,0,1,0,0,0,NA,NA,NA,NA,NA
"583",0.23,-0.39,-0.17,-0.19,-0.19,0,1,0,0,0,NA,NA,NA,NA,NA
"584",0.03,-0.44,0,-0.04,-0.09,0,1,0,0,0,NA,NA,NA,NA,NA
"585",0.8,0.43,-0.12,-0.05,-0.2,2,1,0,0,0,NA,NA,NA,NA,NA
"586",0.36,0.03,-0.47,-0.23,-0.52,0,0,1,0,2,NA,NA,NA,NA,NA
"587",0.51,0.48,-0.33,-0.13,-0.32,1,1,1,0,1,NA,NA,NA,NA,NA
"588",-0.38,0.57,-0.07,0,0.42,0,1,0,0,1,NA,NA,NA,NA,NA
"589",0.06,-0.39,0.02,0.05,-0.06,0,1,0,0,0,NA,NA,NA,NA,NA
"590",0.29,-0.01,-0.13,-0.03,-0.19,0,0,0,0,0,NA,NA,NA,NA,NA
"591",0.48,-0.36,-0.02,-0.04,-0.15,1,1,0,0,0,NA,NA,NA,NA,NA
"592",-0.02,0.45,-0.4,-0.22,-0.18,0,1,1,0,0,NA,NA,NA,NA,NA
"593",-0.98,0.24,0.02,0.03,0.5,3,0,0,0,1,NA,NA,NA,NA,NA
"594",-0.14,0.23,-0.46,-0.34,-0.32,0,0,1,1,1,NA,NA,NA,NA,NA
"595",-0.09,-0.27,-0.22,-0.19,-0.17,0,0,0,0,0,NA,NA,NA,NA,NA
"596",0.21,-0.56,-0.01,-0.03,-0.21,0,1,0,0,0,NA,NA,NA,NA,NA
"597",0.01,-0.49,-0.25,-0.2,-0.24,0,1,0,0,0,NA,NA,NA,NA,NA
"598",0.71,-0.38,0.34,0.13,0.17,1,1,1,0,0,NA,NA,NA,NA,NA
"599",-0.16,-0.44,0.11,-0.16,-0.02,0,1,0,0,0,NA,NA,NA,NA,NA
"600",0.05,-0.45,-0.01,-0.12,-0.03,0,1,0,0,0,NA,NA,NA,NA,NA
"601",0.58,-0.17,0.23,-0.12,0.17,1,0,0,0,0,NA,NA,NA,NA,NA
"602",0.56,0.54,-0.03,0.08,-0.11,1,1,0,0,0,NA,NA,NA,NA,NA
"603",0.13,0.72,-0.04,-0.11,-0.1,0,2,0,0,0,NA,NA,NA,NA,NA
"604",0.15,0.36,-0.28,-0.03,-0.26,0,1,0,0,0,NA,NA,NA,NA,NA
"605",0.27,-0.37,-0.26,-0.21,-0.33,0,1,0,0,1,NA,NA,NA,NA,NA
"606",0.01,-0.48,0.01,-0.01,-0.18,0,1,0,0,0,NA,NA,NA,NA,NA
"607",-0.5,0.64,0.16,-0.09,0.11,1,2,0,0,0,NA,NA,NA,NA,NA
"608",-0.08,-0.37,0.12,0.15,0.12,0,1,0,0,0,NA,NA,NA,NA,NA
"609",-0.72,0.39,0.07,0.13,0.01,1,1,0,0,0,NA,NA,NA,NA,NA
"610",0.01,0.27,-0.27,-0.07,-0.2,0,0,0,0,0,NA,NA,NA,NA,NA
"611",-0.16,-0.15,0,-0.06,-0.05,0,0,0,0,0,NA,NA,NA,NA,NA
"612",0.21,0.51,-0.2,-0.32,-0.4,0,1,0,1,1,NA,NA,NA,NA,NA
"613",-0.25,-0.38,-0.13,-0.09,0.01,0,1,0,0,0,NA,NA,NA,NA,NA
"614",-0.64,0.1,0.11,0.12,0.23,1,0,0,0,0,NA,NA,NA,NA,NA
"615",-0.83,0.78,0.27,-0.32,-0.12,2,3,0,1,0,NA,NA,NA,NA,NA
"616",-0.81,0.02,0.1,-0.01,-0.04,2,0,0,0,0,NA,NA,NA,NA,NA
"617",-0.31,0.03,-0.24,-0.13,0.08,0,0,0,0,0,NA,NA,NA,NA,NA
"618",-0.8,-0.1,0.21,0.13,0.41,2,0,0,0,1,NA,NA,NA,NA,NA
"619",0.45,-0.53,0.19,0.07,0.04,1,1,0,0,0,NA,NA,NA,NA,NA
"620",0.42,0.44,-0.09,-0.08,0.01,0,1,0,0,0,NA,NA,NA,NA,NA
"621",0.16,0.49,-0.41,-0.22,-0.17,0,1,1,0,0,NA,NA,NA,NA,NA
"622",-0.07,0.57,-0.16,0.14,-0.03,0,1,0,0,0,NA,NA,NA,NA,NA
"623",-0.12,-0.25,0.18,0.27,0.19,0,0,0,0,0,NA,NA,NA,NA,NA
"624",-0.58,-0.38,0,0.01,0.22,1,1,0,0,0,NA,NA,NA,NA,NA
"625",0.78,0.29,-0.19,-0.17,-0.27,2,0,0,0,0,NA,NA,NA,NA,NA
"626",-0.11,-0.27,0.3,0.21,0.09,0,0,0,0,0,NA,NA,NA,NA,NA
"627",0.13,-0.48,0.09,0.11,-0.04,0,1,0,0,0,NA,NA,NA,NA,NA
"628",-0.5,-0.19,0.16,0.26,0.29,1,0,0,0,0,NA,NA,NA,NA,NA
"629",0.17,0.17,-0.04,0.06,0.07,0,0,0,0,0,NA,NA,NA,NA,NA
"630",-0.71,0.31,-0.24,-0.03,0,1,0,0,0,0,NA,NA,NA,NA,NA
"631",0.34,-0.43,0.33,0.18,0.24,0,1,1,0,0,NA,NA,NA,NA,NA
"632",-0.56,0.89,0.18,0.06,0.08,1,3,0,0,0,NA,NA,NA,NA,NA
"633",0.2,-0.54,-0.07,-0.04,-0.16,0,1,0,0,0,NA,NA,NA,NA,NA
"634",-0.19,0.7,0.05,-0.26,0,0,2,0,0,0,NA,NA,NA,NA,NA
"635",-0.18,0.25,0.12,0.18,-0.02,0,0,0,0,0,NA,NA,NA,NA,NA
"636",0.03,0.64,-0.14,-0.23,-0.11,0,2,0,0,0,NA,NA,NA,NA,NA
"637",-0.1,-0.17,-0.09,0.02,-0.12,0,0,0,0,0,NA,NA,NA,NA,NA
"638",-0.47,-0.24,-0.25,-0.04,-0.04,1,0,0,0,0,NA,NA,NA,NA,NA
"639",-0.36,-0.11,0,0.1,0.08,0,0,0,0,0,NA,NA,NA,NA,NA
"640",-0.22,-0.35,-0.04,-0.18,-0.08,0,0,0,0,0,NA,NA,NA,NA,NA
"641",0.35,0.33,-0.37,-0.28,-0.24,0,0,1,0,0,NA,NA,NA,NA,NA
"642",-0.33,-0.22,-0.2,-0.02,-0.06,0,0,0,0,0,NA,NA,NA,NA,NA
"643",0.11,-0.35,0.04,-0.07,-0.11,0,1,0,0,0,NA,NA,NA,NA,NA
"644",-0.36,-0.1,0.12,0.21,0.15,0,0,0,0,0,NA,NA,NA,NA,NA
"645",0.37,0.26,-0.13,0.02,-0.17,0,0,0,0,0,NA,NA,NA,NA,NA
"646",0.17,0.56,-0.2,-0.1,-0.03,0,1,0,0,0,NA,NA,NA,NA,NA
"647",-0.97,0.06,0.39,0.18,0.45,3,0,1,0,1,NA,NA,NA,NA,NA
"648",-0.33,-0.46,-0.09,-0.1,0.03,0,1,0,0,0,NA,NA,NA,NA,NA
"649",0.72,0.34,-0.26,-0.21,-0.28,1,0,0,0,0,NA,NA,NA,NA,NA
"650",-0.04,0.37,-0.36,-0.2,-0.08,0,1,1,0,0,NA,NA,NA,NA,NA
"651",0.1,-0.03,-0.15,-0.39,-0.3,0,0,0,1,1,NA,NA,NA,NA,NA
"652",0.01,-0.19,-0.15,-0.02,-0.19,0,0,0,0,0,NA,NA,NA,NA,NA
"653",-0.32,-0.1,-0.25,-0.35,-0.3,0,0,0,1,1,NA,NA,NA,NA,NA
"654",0.62,-0.01,-0.08,-0.12,-0.22,1,0,0,0,0,NA,NA,NA,NA,NA
"655",0.41,0.36,-0.2,-0.15,-0.09,0,1,0,0,0,NA,NA,NA,NA,NA
"656",-0.01,0.57,-0.46,-0.37,-0.16,0,1,1,1,0,NA,NA,NA,NA,NA
"657",-0.21,-0.03,0.03,0.14,0.11,0,0,0,0,0,NA,NA,NA,NA,NA
"658",0.36,-0.19,-0.25,-0.22,-0.29,0,0,0,0,0,NA,NA,NA,NA,NA
"659",0.19,-0.01,-0.36,-0.32,-0.22,0,0,1,1,0,NA,NA,NA,NA,NA
"660",0.24,-0.17,0.15,-0.01,0.01,0,0,0,0,0,NA,NA,NA,NA,NA
"661",-0.16,0.78,0.12,0.03,-0.03,0,2,0,0,0,NA,NA,NA,NA,NA
"662",0.33,0.39,-0.06,0.06,0.04,0,1,0,0,0,NA,NA,NA,NA,NA
"663",0.13,0.85,0.43,0.22,0.12,0,3,1,0,0,NA,NA,NA,NA,NA
"664",-0.07,-0.07,-0.03,-0.1,0.03,0,0,0,0,0,NA,NA,NA,NA,NA
"665",-0.24,-0.34,-0.08,-0.07,-0.05,0,0,0,0,0,NA,NA,NA,NA,NA
"666",-0.04,-0.62,-0.08,-0.22,-0.25,0,2,0,0,0,NA,NA,NA,NA,NA
"667",0.39,-0.58,0.11,-0.14,-0.07,0,1,0,0,0,NA,NA,NA,NA,NA
"668",0.33,-0.14,-0.14,-0.04,-0.22,0,0,0,0,0,NA,NA,NA,NA,NA
"669",-0.34,0.47,-0.16,-0.13,-0.09,0,1,0,0,0,NA,NA,NA,NA,NA
"670",-0.65,-0.15,0.33,0.25,0.46,1,0,1,0,1,NA,NA,NA,NA,NA
"671",0.1,-0.03,-0.11,-0.02,-0.09,0,0,0,0,0,NA,NA,NA,NA,NA
"672",0.15,0.68,-0.39,-0.11,-0.22,0,2,1,0,0,NA,NA,NA,NA,NA
"673",0.4,0,-0.16,0.02,-0.31,0,0,0,0,1,NA,NA,NA,NA,NA
"674",0.02,-0.43,0,-0.04,0.07,0,1,0,0,0,NA,NA,NA,NA,NA
"675",0,0.75,-0.37,-0.12,-0.2,0,2,1,0,0,NA,NA,NA,NA,NA
"676",-0.07,-0.04,-0.33,-0.26,-0.17,0,0,1,0,0,NA,NA,NA,NA,NA
"677",-0.8,-0.14,0.02,0.09,0.32,2,0,0,0,1,NA,NA,NA,NA,NA
"678",0.43,-0.03,0,-0.1,-0.27,1,0,0,0,0,NA,NA,NA,NA,NA
"679",0.4,-0.33,-0.03,-0.1,-0.05,0,0,0,0,0,NA,NA,NA,NA,NA
"680",-0.14,-0.65,0.13,0.17,0.07,0,2,0,0,0,NA,NA,NA,NA,NA
"681",0.79,-0.49,0.41,0.17,0.21,2,1,1,0,0,NA,NA,NA,NA,NA
"682",-0.05,-0.64,0.03,0,-0.01,0,2,0,0,0,NA,NA,NA,NA,NA
"683",0.67,-0.07,0.05,-0.05,-0.11,1,0,0,0,0,NA,NA,NA,NA,NA
"684",0.3,-0.56,0.14,0.13,-0.02,0,1,0,0,0,NA,NA,NA,NA,NA
"685",0.01,-0.44,-0.15,-0.07,-0.11,0,1,0,0,0,NA,NA,NA,NA,NA
"686",0.33,-0.21,-0.34,-0.13,-0.39,0,0,1,0,1,NA,NA,NA,NA,NA
"687",0.21,0.23,-0.15,0.03,-0.1,0,0,0,0,0,NA,NA,NA,NA,NA
"688",0.54,0.18,-0.16,-0.07,-0.23,1,0,0,0,0,NA,NA,NA,NA,NA
"689",0.03,-0.09,-0.01,0.12,-0.07,0,0,0,0,0,NA,NA,NA,NA,NA
"690",-0.29,0.17,0.41,-0.33,-0.09,0,0,1,1,0,NA,NA,NA,NA,NA
"691",0.23,0.53,-0.11,-0.13,0.11,0,1,0,0,0,NA,NA,NA,NA,NA
"692",-0.65,-0.09,0.11,0.15,0.04,1,0,0,0,0,NA,NA,NA,NA,NA
"693",-0.06,-0.46,0.18,0.05,-0.01,0,1,0,0,0,NA,NA,NA,NA,NA
"694",-0.37,-0.2,-0.02,0.05,0.04,0,0,0,0,0,NA,NA,NA,NA,NA
"695",-0.37,-0.25,-0.02,-0.01,0.11,0,0,0,0,0,NA,NA,NA,NA,NA
"696",-1,0.26,0.54,0.11,0.46,3,0,2,0,1,NA,NA,NA,NA,NA
"697",-0.8,0.24,0.2,-0.03,0.14,2,0,0,0,0,NA,NA,NA,NA,NA
"698",-0.06,-0.38,-0.2,-0.21,-0.2,0,1,0,0,0,NA,NA,NA,NA,NA
"699",-0.07,0.19,-0.17,-0.02,0.03,0,0,0,0,0,NA,NA,NA,NA,NA
"700",0.06,0.55,0.11,0.22,0.33,0,1,0,0,1,NA,NA,NA,NA,NA
"701",-0.19,0.15,-0.28,-0.12,-0.04,0,0,0,0,0,NA,NA,NA,NA,NA
