"","Coord: 1","Coord: 2","Coord: 3","Coord: 4","Coord: 5","Ctr: 1","Ctr: 2","Ctr: 3","Ctr: 4","Ctr: 5","Cor: 1","Cor: 2","Cor: 3","Cor: 4","Cor: 5"
"symph5: 4",0.5,-0.27,0.11,-0.02,-0.05,32,13,3,0,1,27.4,7.7,1.2,0,0.2
"symph5: 9",-0.46,1.26,0.44,10.34,-8.37,0,2,0,167,113,0.1,0.5,0.1,34.3,22.5
"kindblue: 1",-1.06,0.41,0.68,0.19,0.43,35,8,28,2,12,16.6,2.5,6.9,0.5,2.8
"kindblue: 2",-1.04,-0.21,-0.02,0.19,0.33,8,0,0,1,2,3.4,0.1,0,0.1,0.3
"kindblue: 3",-0.55,-0.27,-0.25,-0.31,0.07,11,4,4,7,0,5.3,1.3,1.1,1.7,0.1
"kindblue: 4",0.36,-0.01,-0.07,0.02,-0.11,22,0,2,0,4,29.4,0,1.2,0.1,2.8
"kindblue: 9",-0.56,-0.45,0.02,-0.11,0.16,0,0,0,0,0,0.1,0,0,0,0
"oops: 1",-0.02,-0.59,0.17,0.21,0.03,0,32,4,5,0,0,12,1.1,1.5,0
"oops: 2",-0.3,-0.49,0.15,0.03,0.05,8,32,4,0,1,5.4,14.5,1.3,0,0.2
"oops: 3",-0.07,0.45,-0.51,-0.27,-0.42,0,9,15,5,11,0.1,2.9,3.8,1.1,2.6
"oops: 4",0.54,1.17,-0.15,-0.12,0.09,17,117,3,2,1,9.1,42.8,0.7,0.5,0.3
"oops: 9",-1.3,0.4,0.15,-0.07,0.83,1,0,0,0,1,0.4,0,0,0,0.2
"chicago: 1",-0.21,0.13,-0.04,0.02,-0.03,7,4,0,0,0,8.3,3.5,0.2,0.1,0.2
"chicago: 2",0.1,-0.13,-0.14,-0.14,-0.12,0,1,2,2,1,0.2,0.3,0.4,0.4,0.3
"chicago: 3",0.31,-0.5,-0.12,-0.19,-0.15,2,9,1,2,1,1.1,2.7,0.2,0.4,0.2
"chicago: 4",1.33,-0.24,0.94,0.46,0.91,28,1,27,7,28,12.4,0.4,6.2,1.5,5.9
